id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001224,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の定休日,初景滝 30分未満 4～11月は火曜定休,初景滝での所要時間は30分未満です。4月から11月は火曜が定休日になっています。,初景滝は4～11月の間は火曜定休です。30分以内で観光することができます。
s00001383,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地が雨天でも楽しめるか,海の噴水 なし 可能,海の噴水に駐車場はありません。雨の中でも楽しむことができます。,海の噴水は雨天でも楽しめるスポットです。駐車場は完備していません。
s00001732,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の設備,豊公園 不明 ペットへの対応なし,豊公園ではペットの対応がありません。屋外で楽しめるか屋内で楽しめるかについてはわかりません。,豊公園のレジャーはインドア系かアウトドア系かは不明ですが、ペットは対応していないようですね。
s00001314,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地の最寄り駅,藤井寺 30分未満 松山市,藤井寺松山市が最寄り駅になります。30分未満で楽しむことができますよ。,藤井寺は30分あれば十分に楽しむことができます。最寄り駅は松山市ですね。
s00000354,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,乳幼児 朝,乳幼児がご一緒で、朝の観光をご希望ですね。承知いたしました。,かしこまりました。乳幼児を連れていける場所で、朝に行きたいということですね。
s00001774,system,情報を教える,観光地の名称 観光地の予約要否 観光地のWi-Fiの有無,大久野島海水浴場 不明 なし,大久野島海水浴場にはWi-Fiはありません。予約が必要かどうかについては、申し訳ありません、わかりません。,大久野島海水浴場に予約がいるかどうかは不明です。Wi-Fiは使えません。
s00002500,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,道の駅のだ 家族 冬,道の駅のだは家族で冬に行くのがおすすめですね。,道の駅のだは冬がおすすめです。家族で行くと楽しめますよ。
s00002217,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル,水上峡・諏訪峡 エステ・ボディケア・マッサージ,水上峡・諏訪峡ならばエステ・ボディケア・マッサージを満喫できます。,エステ・ボディケア・マッサージといったものならば、水上峡・諏訪峡がおすすめですよ。
s00000035,system,好意的に承知する,客が観光にかけたい時間,未定,観光にどれくらい時間をかけたいかは、まだわからないということですね。承知いたしました。,かしこまりました。観光できる時間については未定ですね。
s00001128,system,情報を教える,観光地の名称 観光地のWi-Fiの有無,サイロ展望台 なし,サイロ展望台ではWi-Fiは利用できません。,サイロ展望台はWi-Fi設備は使えないようです。
s00002411,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,出合滝 あり 子供,出合滝には駐車場があります。子供と行くと喜ばれると思いますよ。,出合滝はお子さまと一緒に見るのがおすすめです。駐車場もあるので車で行けますよ。
s00002575,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地のすいている曜日，時間帯,夏油高原スキー場 障害者への対応あり 平日の午後,夏油高原スキー場は障害者のお客様にも対応しています。平日の午後が比較的すいていますね。,夏油高原スキー場は平日の午後がすいているのでおすすめです。障害者も対応してもらうことができます。
s00001504,system,情報を教える,観光地の名称 観光地が雨天でも楽しめるか 観光地におすすめな時期,湊山公園 不可能 春,湊山公園を雨天で楽しむのはちょっと難しいですね。春に行くのがおすすめのスポットですが。,湊山公園は春が一番楽しめると思います。ただ雨に降られてしまうと楽しめない場所です。
s00001381,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地が雨天でも楽しめるか,観覧車ドリームスカイ あり 不可能,観覧車ドリームスカイは駐車場も完備しています。ただ雨だと楽しむのは難しいです。,観覧車ドリームスカイは雨天に楽しめる場所ではありませんね。ただ駐車場についてはあります。
s00001340,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地での観光の所要時間,三徳山三佛寺 あり 60分以上90分未満,三徳山三佛寺の観光にかかる時間は60分から90分ほどです。駐車場もあります。,三徳山三佛寺には駐車場があります。観光の所要時間は60分以上、90分未満になっています。
s00000824,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,バス 女性,本日はバスでお越しで、女性とご一緒ですね。承知いたしました。,本日は女性と、バスでいらっしゃったということですね。かしこまりました。
s00000543,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,希望なし 希望なし,観光する時間帯の希望は特になし。交通手段も特になしですね。承知いたしました。,かしこまりました。交通手段も、時間帯についても特に希望するものは無いということですね。
s00001816,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地のWi-Fiの有無,葛城山 インドア なし,葛城山はインドア派におすすめです。ただWi-Fiについては、ありません。,葛城山はWi-Fiが使えませんが、インドアで楽しむことができます。
s00002239,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな時期,みなと見晴らし台 冬,みなと見晴らし台に行くならば冬がおすすめです。,冬に行くならば、みなと見晴らし台はいかがでしょうか？
s00001526,system,情報を教える,観光地の名称 観光地のお土産 観光地の撮影可否,インド ケララ州の村 伝統工芸品 不可能,インド ケララ州の村はお土産として伝統工芸品を購入することができます。ただ現地を撮影することはできません。,インド ケララ州の村は撮影はできませんが、伝統工芸品をおみやげとして買うことができます。
