id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000806,system,好意的に承知する,客の趣味 客がインドア派かアウトドア派か,健康 インドア,健康づくりが趣味で、インドア派なんですね。すばらしいです。,インドアでも健康を培える場所はたくさんありますもんね。すばらしいことです。
s00000143,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,子供 車,お子様とお車で観光されるのですね。良いですね。,お子様連れなら、お車での観光は融通が利いて良いですよね。
s00000230,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,恋人 未定,季節の希望はなく、恋人と観光されるのですね。良いですね。,季節はいつでもOKで、恋人との観光をご希望ですね。良いですね。
s00000259,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,歴史好き 冬,季節は冬で、歴史好きの方と観光されるのですね。良いですね。,冬に歴史に興味のある方と観光ですね。楽しそうですね。
s00000241,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,家族 冬,冬にご家族との観光なんて、いいですね。,冬の観光は充実していますからね。ご家族の方と一緒ならより素晴らしい思い出になるでしょうね。
s00000815,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,車 女性,女性の方と観光ですね。お車なら、自由に行動できるのがいいですね。,女性の方と観光ですね。お車なら、いろんなところに行けるのでいいですね。
s00001770,system,情報を教える,観光地の名称 観光地の撮影可否 観光地のWi-Fiの有無,指月山 不可能 あり,指月山では、撮影は不可能です。Wi-Fi環境は整っています。,Wi-Fi環境は整っていますが、指月山での撮影は禁止されています。
s00002638,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の撮影可否,渡月橋 アウトドア 可能,渡月橋はアウトドア向けの観光地で、撮影も可能となっているのでお勧めです。,アウトドアでしたら、渡月橋がおすすめです。撮影も可能なので、思い出作りにぴったりです。
s00001993,system,情報を教える,観光地の名称 観光地の予約要否 観光地の喫煙可否,日光杉並木 不明 不可能,日光杉並木での喫煙は禁止されています。予約の要否につきましては不明。,日光杉並木での予約要否は分かりかねます。喫煙につきましては禁止されています。
s00001745,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地のWi-Fiの有無,アクアシティお台場神社 不明 不明,アクアシティお台場神社での手荷物預かりは不明です。Wi-Fiにつきましても不明です。,アクアシティお台場神社では、手荷物、Wi-Fiともに対応は不明となっています。
s00000715,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,夏 インドア,夏にインドアはいいですね。,夏はできるだけインドアで楽しみたいですよね。
s00002060,system,情報を教える,観光地の名称 観光地の駐車場の料金 観光地のすいている曜日，時間帯,小田急山中湖フォレストコテージ 800円 平日の午後,小田急山中湖フォレストコテージでの駐車料金は800円です。平日の午後は比較的すいています。,小田急山中湖フォレストコテージでは駐車料金として800円が必要になります。平日の午後なら、すいているので利用しやすいですよ。
s00001634,system,情報を教える,観光地の名称 観光地の設備 観光地の撮影可否,次郎湖 障害者への対応あり 不明,次郎湖では障碍者向けの設備が整っています。撮影可否については不明です。,次郎湖では障碍者の方でも利用しやすいように設備が充実しています。撮影については、分かりかねます。
s00001941,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地がインドアかアウトドアか,泰雲寺 不可能 インドア,泰雲寺はインドア向けの観光地です。飲食物の持ち込みは禁止されています。,泰雲寺はインドア向けの観光地ですから、飲食物の持ち込みはダメです。
s00000902,system,質問する,客の観光の同行者 客が希望する観光の季節,? ?,お客様は誰と観光される予定ですか？あと、季節はいつを希望されますか？,お客様、同伴者はいらっしゃいますでしょうか？それと、季節はいつ頃を予定されていますでしょうか？
s00002670,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランのジャンル 観光地周辺のレストランの評価,落合町福地地区のほたる 担々麺 4,落合町福地地区のほたる周辺でしたら、担々麺で4つ星評価の有名なお店があります。,担々麺でしたら、落合町福地地区のほたるの近くに評価４の有名なお店がございます。
s00001677,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,天伯峡 乳幼児への対応なし 可能,天伯峡は、喫煙可能ですが、乳幼児関連の設備はございません。,天伯峡での喫煙は可能です。ただし、乳幼児への対応はなされていません。
s00000469,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,秋 電車,秋に電車を使っての観光はいいですよね。,秋に電車で観光なんて、素晴らしいですね。
s00002432,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の電話番号 観光地におすすめな時期,伊豆高原アンティーク・ジュエリーミュージアム 0745-72-2881 春,伊豆高原アンティーク・ジュエリーミュージアムの電話番号は0745-72-2881です。お勧めの時期は春になります。,伊豆高原アンティーク・ジュエリーミュージアムのおすすめの季節は春になります。お問い合わせ番号は0745-72-2881です。
s00001212,system,情報を教える,観光地の名称 観光地の営業時間 観光地におすすめな時期,ガマ石 9時30分～17時30分、金・土曜は～19時30分 冬,ガマ石の営業時間は9時30分から17時30分で金・土曜は19時30分となります。観光にお勧めの季節は冬ですね。,ガマ石は、9時30分から17時30分、金・土曜は19時30分まで営業しています。冬の季節が観光に最適ですよ。
