id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000806,system,好意的に承知する,客の趣味 客がインドア派かアウトドア派か,健康 インドア,インドア派でも食事に気を配ったりと健康に気を付けているんですね。,インドアでできる運動を積極的にすることで健康に気を付けているんですね。
s00000143,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,子供 車,お子さんがいらっしゃると車の方が旅行しやすいですよね。,車だと自由がきいてお子さんがいる場合は特に安心ですよね。
s00000230,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,恋人 未定,恋人が気にいる景色や出来事にぴったりな季節をこれから考えていきましょうか。,お二人の思い出になるような観光となるために観光しやすい季節をこれからお伝えします。
s00000259,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,歴史好き 冬,冬ですと歴史的建造物が多く見ることができるのでお勧めです。,歴史にご興味があるとのことで今年の冬にこの地方の歴史についての展覧会がありますのでぜひお越しください。
s00000241,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,家族 冬,ご家族皆様で冬に来ていただくと旬な海鮮を食べることができますよ。,冬では雪ダルマを作ることができるのでご家族みんなでお楽しみください。
s00000815,system,好意的に承知する,客の本日の交通手段 客の本日の同行者,車 女性,車で来ていただけるとお連れ様も安心できますね。,女性だとここまでは距離がありますのでお車でお越しいただけるのはとても良いことだと思いおます。
s00001770,system,情報を教える,観光地の名称 観光地の撮影可否 観光地のWi-Fiの有無,指月山 不可能 あり,指月山は撮影はできませんが無料Wi-Fiがあるので皆様で楽しめる観光地だと思います。,この付近で無料Wi-Fiがある観光地は指月山です。ただし撮影ができませんのでご注意ください。
s00002638,system,観光地の情報を使って客におすすめする,観光地の名称 観光地がインドアかアウトドアか 観光地の撮影可否,渡月橋 アウトドア 可能,渡月橋は撮影もできるアウトドア派の方にはぴったりな観光名所です。,旅行で外に出ていい景色を堪能したい方には渡月橋がおすすめです。写真撮影もできるので思い出の写真をいっぱい撮ってください。
s00001993,system,情報を教える,観光地の名称 観光地の予約要否 観光地の喫煙可否,日光杉並木 不明 不可能,日光杉並木は入場するのに予約が必要かはここではわかりかねますので事前にHP等を確認してください。なお喫煙は不可ですのでご注意ください。,日光杉並木は喫煙ができません。また事前に入場に予約が必要かをホームページ等でご確認ください。
s00001745,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地のWi-Fiの有無,アクアシティお台場神社 不明 不明,アクアシティお台場神社に無料Wi-Fiがあるのかはここではわかりかねます。また手荷物預かり所があるかもこちらではわかりませんので、事前に問い合わせをお願いします。,こちらではアクアシティお台場神社でのWi-Fiの有無や手荷物預かりの有無に関することはわかりませんので、専用電話番号をお伝えしますのでご自身でご確認ください。
s00000715,system,好意的に承知する,客が希望する観光の季節 客がインドア派かアウトドア派か,夏 インドア,夏だと暑いですしホテルの中でできる観光はとてもいいですよね。,室内プールがありますので夏に室内でのんびりしたい方にはぴったりだと思います。
s00002060,system,情報を教える,観光地の名称 観光地の駐車場の料金 観光地のすいている曜日，時間帯,小田急山中湖フォレストコテージ 800円 平日の午後,小田急山中湖フォレストコテージは平日の午後が特に空いています。駐車場の料金が800円かかるのでご注意ください。,小田急山中湖フォレストコテージは車で行くのが一番行きやすいです。駐車場の料金は800円かかります。平日の午後が特にすいているのでお勧めです。
s00001634,system,情報を教える,観光地の名称 観光地の設備 観光地の撮影可否,次郎湖 障害者への対応あり 不明,次郎湖は障害者への対応がされる観光地です。ただし撮影ができるかがこちらではわかりかねます。,障害者への対応が手厚い観光地としては次郎湖が近くにあります。撮影が現地でできるかはこちらではわかりませんので、ホームページをご確認ください。
s00001941,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地がインドアかアウトドアか,泰雲寺 不可能 インドア,泰雲寺は雨天でも楽しめる室内型の観光地です。飲食物を持ち込みできませんのでご注意ください。,この付近でインドア派の方も楽しめる観光地として泰雲寺があります。ただし飲食物の持ち込みはできませんので現地でご購入ください。
s00000902,system,質問する,客の観光の同行者 客が希望する観光の季節,? ?,いつ誰とここに来る予定でしょうか？,どなたと来る予定でしょうか？その方が好きな季節はありますか？
s00002670,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランのジャンル 観光地周辺のレストランの評価,落合町福地地区のほたる 担々麺 4,落合町福地地区のほたるは担々麺がおすすめです。ネットのレストラン評価では5段階のうち4であり、近隣のレストランより高い評価です。,この付近で美味しい料理を提供してくれるのは落合町福地地区のほたるです。担々麺が特におすすめでネットの評価でも5段階のうち4と高い評価を得ています。
s00001677,system,情報を教える,観光地の名称 観光地の設備 観光地の喫煙可否,天伯峡 乳幼児への対応なし 可能,天伯峡はこの付近の観光地で喫煙ができる観光地です。ただし乳幼児への対応がないためご注意ください。,天伯峡は乳幼児の対応がないため大人の方が行くことをお勧めします。喫煙可能ですのでタバコが嫌いな方はご注意ください。
s00000469,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,秋 電車,秋には電車で来ていただけると紅葉がとてもきれいなのでお勧めです。,ここの観光地は秋にはとてもおいしい料理が多数出店されるのでこの時期にきてよかったですね。
s00002432,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の電話番号 観光地におすすめな時期,伊豆高原アンティーク・ジュエリーミュージアム 0745-72-2881 春,伊豆高原アンティーク・ジュエリーミュージアムのおすすめの季節は春です。詳細については電話番号は0745-72-2881ですので直接ご確認ください。,春にお勧めの観光地は伊豆高原アンティーク・ジュエリーミュージアムです。予約が必要ですので0745-72-2881までご連絡ください。
s00001212,system,情報を教える,観光地の名称 観光地の営業時間 観光地におすすめな時期,ガマ石 9時30分～17時30分、金・土曜は～19時30分 冬,冬にお勧めの観光地はガマ石です。営業時間は9時30分～17時30分ですが、金・土曜は～19時30分まであいています。,土曜日にこの辺りにみえるのであればガマ石に観光することをお勧めします。営業時間は9時30分～17時30分ですが、金・土曜は～19時30分まであいています。特に冬はとても景色がきれいなのでお勧めです。
