id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000761,user,教える,客が希望する観光ジャンル 客が希望する交通手段,工場・施設見学 バス,工場の施設見学には、バスで行きたいと考えています。,バスで行ける施設見学で、目的地は工場を探しています。
u00000717,user,教える,客が希望する交通手段 客が希望する観光の季節,未定 希望なし,季節はいつでも良いので、交通手段もそれに合わせます。,交通手段も観光の季節も決まっていません。
u00000287,user,質問する,観光地がインドアかアウトドアか 観光地の予約要否,? ?,そこは屋外で予約は必要ですか？,そこはインドアで予約はいらないですか？
u00000173,user,質問する,観光地の駐車場の有無 観光地の電話番号,? ?,そこには駐車場がありますか？また、そこの電話番号が知りたいです。,その場所へ問い合わせるための電話番号を知りたいのと、駐車場があるか教えてください。
u00000665,user,教える,客の観光の同行者 客の希望の観光時間帯,ペット 午後,午後に観光したいのですが、ペットを連れて行きたいです。,ペット同伴で、午後の時間帯に観光希望です。
u00000408,user,教える,客の観光の同行者 客が希望する交通手段,なし 車,そこまで私ひとりで車で行くつもりです。,車を運転して、一人旅を楽しみたいです。
u00000001,user,別れの挨拶をする,,,色々と相談に乗っていただき、ありがとうございました。,参考になるアドバイスを、ありがとうございました。
u00000654,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 夜,そこへは恋人と行く予定のなので、夜の時間帯がいいです。,観光の時間は夜にした方が、恋人が喜ぶと思います。
u00000047,user,質問する,観光地の名称 観光地の料金,? ?,そこの名称と、料金を教えてください。,料金はいくらですか？あと、名称は何といいますか？
u00000922,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分未満 秋,季節は秋で、だいたい30分未満で観光をしたいです。,30分未満の時間で観光希望です。秋の時期がいいです。
u00000498,user,教える,客の観光の同行者 客が希望する観光の季節,子供 希望なし,子供と行きますが、季節は特に決めていないです。,季節の希望はありませんが、子供が一緒に行きます。
u00000609,user,教える,客の観光の同行者 客の趣味,未定 俳句,趣味の俳句仲間に声をかけているので、同行者は未定です。,一緒に行く相手はまだ決まっていません。趣味で俳句の会に入っているので、そこで誘うつもりです。
u00000623,user,教える,客の観光の同行者 客の希望の観光時間帯,未定 午後,同行者は未定ですが、午後の時間帯に観光したいと考えています。,観光の希望時間帯は午後ですが、一緒に行く相手はまだ決まっていません。
u00001093,user,教える,客の本日の同行者 客の本日の交通手段,なし バス,一人でバスで来ました。,バスで来ました。同行者はいません。
u00000783,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分未満 電車,そこまで電車で行って、観光は30分未満でいいです。,30分未満の観光時間で十分です。そこまでは電車で行きたいです。
u00000524,user,教える,客の観光の同行者 客が希望する観光の季節,ペット 夏,夏の時期に、ペットと観光したいです。,ペットと一緒に観光希望で、季節は夏がいいです。
u00000968,user,教える,客の希望の観光時間帯 客が希望する観光の季節,日中 春,春の日中に、観光したいです。,日中に観光したいです。季節は春がいいです。
u00000898,user,教える,客が希望する食べ物 客がインドア派かアウトドア派か,スイーツ インドア,どちらかと言えばインドア派なので、おしゃれなお店でスイーツを食べたいです。,インドアがいいので、バーベキューではなくスイーツ食べ放題がいいです。
u00000706,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,歴史好き 特になし,同行者が歴史好きなので、インドアでもアウトドアでも、歴史の名所に行きたいです。,インドアアウトドア問わず、歴史の名所を観光希望です。同行者が、歴史好きなので喜びます。
u00000175,user,質問する,観光地におすすめな人 観光地の駐車場の有無,? ?,そこは、どんな人におすすめの場所ですか？また、駐車場はありますか？,そこは駐車場が用意されていますか？また、メインの客層はどんな感じですか？
