id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000985,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,特になし 希望なし,それでは、紹介したいと思います。,紹介しますが宜しいでしょうか。
u00000558,user,教える,客の観光の同行者 客が観光にかけたい時間,なし 30分以上60未満,今回は、30 分から 60 分程度で観光したいと考えています。,30 分から 60 分程度で今回は観光しようと考えておりす。
u00000273,user,質問する,観光地の撮影可否 観光地の利用可能なキャッシュレス決済,? ?,何か質問はございますか。,質問があれば仰ってください。
u00000809,user,教える,客の趣味 客が希望する交通手段,川柳 車,移動にはお車をご用意致しますので、その際川柳でも作ってみてはいかがでしょうか。,お車で移動致しますので、川柳を考える時間もございます。
u00000755,user,教える,客が希望する交通手段 客が希望する観光の季節,徒歩 夏,夏ですと徒歩もよろしいかと存じます。,徒歩で散策する夏もよろしいですね。
u00000100,user,質問する,観光地の名称 観光地がインドアかアウトドアか,鳴子峡 ?,鳴子峡などいかがでしょうか？,鳴子峡はお気に召しませんか？
u00000227,user,質問する,観光地の設備 観光地の利用可能なキャッシュレス決済,? ?,お気に召しませんか？,いかがでしょうか？
u00000605,user,教える,客の観光の同行者 客が観光にかけたい時間,歴史好き 30分未満,30分未満しかなくても、ここなどは歴史も学べます。,歴史を30分ほどで学ぶことが出来ます。
u00001021,user,教える,客が観光にかけたい時間 客の趣味,30分以上60未満 釣り,30分以上60未満の間に釣りも出来ます。,釣りを30分以上60未満の少ない時間で遊ぶことも可能です。
u00000767,user,教える,客が観光にかけたい時間 客が希望する交通手段,未定 車,車移動がお好みでしたら手配いたします。,車を手配して移動することも出来ます。
u00000117,user,質問する,観光地のジャンル 観光地での観光の所要時間,? ?,さて、いかがですか？,どういたしましょう？
u00000831,user,教える,客の希望の観光時間帯 客が希望する交通手段,朝 バス,朝には、バスで観光も出来ます。,観光には、朝からバスをご用意いたします。
u00000365,user,教える,客の本日の同行者,友達,友達もご一緒にどうぞ。,友達もお連れください。
u00000851,user,教える,客の希望の観光時間帯 客が希望する交通手段,夜 車,夜は、車で観光致します。,車での観光は、夜行います。
u00000114,user,質問する,観光地のジャンル 観光地の最寄り駅,? ?,ご質問はございますか？,いかがでしょうか？
u00000074,user,質問する,観光地の名称 観光地のWi-Fiの有無,芭蕉翁記念館 ?,また、芭蕉翁記念館はどうでしょうか？,また、芭蕉翁記念館はお好きですか？
u00000577,user,教える,客の観光の同行者 客が観光にかけたい時間,友達 60分以上90分未満,60分以上90分未満でお友達とご一緒に行けれますよ。,お友達とご一緒だと60分以上90分未満で行けれます。
u00000704,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,女性 インドア,インドア派の女性も来られますね。,女性も来られますが、インドア派だそうです。
u00000759,user,教える,客が希望する観光ジャンル 客が希望する交通手段,紅葉スポット 希望なし,紅葉スポットなどが皆さん喜ばれます。,皆さん紅葉スポットに訪れて楽しみます。
u00000800,user,教える,客が観光にかけたい時間 客が希望する交通手段,90分以上 未定,90分以上観光したいのでしたらここなどはどうでしょう。,ここだと90分以上観光出来て宜しいかと思います。
