id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000732,user,教える,客が希望する交通手段 客が希望する観光の季節,車 秋,季節は秋で、車で行きたいです。,秋に車で行こうと思っています。
u00000389,user,教える,客の本日の同行者 客の名前,恋人 中村,中村です。今日は恋人と来ました。,私は中村で、こちらは恋人です。
u00000049,user,質問する,観光地の名称 観光地の公共交通機関でのアクセス,? ?,この場所はどういった名称ですか。それと、公共交通機関のアクセスはありますか。,観光地の名称と公共交通機関を使えるか教えてください。
u00000429,user,教える,客の観光の同行者 客が希望する交通手段,友達 車,友達と一緒に車で行きたいんです。,車で友達を乗せて行く予定です。
u00000584,user,教える,客の観光の同行者 客が観光にかけたい時間,恋人 90分以上,せっかく恋人と一緒なので、1時間半くらいはゆったり時間を掛けたいです。,恋人と一緒に90分以上廻れる場所はありますか。
u00000828,user,教える,客の希望の観光時間帯 客が希望する交通手段,朝 未定,朝に観光したいんですが、まだ交通手段は決めてないです。,行き方は分からないですが、朝までに観光したいです。
u00000806,user,教える,客が観光にかけたい時間 客が希望する交通手段,90分以上 徒歩,徒歩でゆっくり行こうと思っているんですが、どうせならゆっくり90分以上は観光したいです。,90分以上は回りたいのです。交通手段は徒歩ですが大丈夫ですか。
u00000618,user,教える,客の観光の同行者 客の趣味,歴史好き 散歩,私は散歩が趣味です。同行者の方は歴史好きです。,私が散歩、同行者が歴史が好きです。
u00000902,user,教える,客が希望する観光ジャンル 客が希望する観光の季節,記念碑・像 春,春にオススメの記念碑とか像が見たいです。,記念碑や像が見られる春のプランが良いです。
u00000516,user,教える,客の観光の同行者 客が希望する観光の季節,家族 希望なし,いつでも良いんですが、家族と行く予定です。,家族と一緒に行くことが第一なので、時期は決めていません。
u00001025,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,未定 希望なし,観光に行くことは決めているんですが、時間などの内容は未定です。,時間帯などは一切決めていません。
u00000756,user,教える,客が希望する交通手段 客が希望する観光の季節,徒歩 秋,秋に観光するので、紅葉を見ながら徒歩で行こうと思っています。,秋を予定していますが、徒歩でも大丈夫ですか。
u00000166,user,質問する,観光地の車でのアクセス 観光地が雨天でも楽しめるか,? ?,車で行っても大丈夫ですか。もし雨が降っても楽しめれば良いんですか。,雨天でも大丈夫ですか。一応、車で行ければ行きたいんですが。
u00000884,user,教える,客が観光にかけたい時間 客が希望する食べ物,未定 たこ焼き,たこ焼きを食べたいんですが、時間とかは決めてません。,観光時間よりとりあえずたこ焼きを食べることは絶対です。
u00001090,user,教える,客の本日の同行者 客の本日の交通手段,乳幼児 公共交通機関,今日は赤ちゃんと一緒に公共機関で来ました。,公共交通機関を使いました。赤ちゃんも連れてきました。
u00000226,user,質問する,観光地のすいている曜日，時間帯 観光地の設備,? ?,観光地の混まない時期と、使える設備を教えてください。,気疲れしたくないので混雑しない時間を教えてほしいです。それと、設備インフラはちゃんとしていますか。
u00000212,user,質問する,観光地の割引 観光地のすいている曜日，時間帯,? ?,空いている時間帯が知りたいです。あと、割引ありますか。,できるだけ混雑せず安く観光することってできますか。
u00000835,user,教える,客の希望の観光時間帯 客が希望する交通手段,日中 未定,日中までに観光できれば良いので、交通手段は特に決めてません。,日中に観光したいです。交通手段は未定ですが。
u00000055,user,質問する,観光地の名称 観光地の駐車場の有無,? ?,観光地の名称と駐車場があるかが知りたいです。,ここはなんという名前ですか。あと、車は停められますか。
u00000139,user,質問する,観光地での観光の所要時間 観光地の定休日,? ?,ここは廻るのに何時間くらい掛かりますか。あと、定休日はあるんですか。,どれくらい観光するのに時間が必要ですか。もしかして、入れない日もありますか。
