id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000956,user,教える,客の希望の観光時間帯 客が希望する観光の季節,希望なし 春,春のシーズンに観光したいです。,春の季節に観光したいです。
u00000311,user,質問する,観光地の新型コロナウイルス感染対策 観光地の利用可能なキャッシュレス決済,? ?,コロナウィルスの感染対策は対応はどうでしょうか、例えばどんなキャッシュレス決済が使えますか。,キャッシュレス決済はどんなものが使えるかと、現地のコロナウィルスの感染対策の状況はどうなっていますか。
u00000973,user,教える,客の希望の観光時間帯 客が希望する観光の季節,午後 希望なし,午後の時間帯に観光したいです。,希望の観光時間帯は午後です。
u00001035,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 夜,夜に観光したいです。,観光を夜の時間帯にしたいです。
u00000785,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分未満 徒歩,30分以内で歩いていける範囲で観光したいです。,30分未満の徒歩圏内で観光したいです。
u00001003,user,教える,客が観光にかけたい時間 客が希望する観光ジャンル,希望なし 動物生息地・植物群生地,動物や植物を見る観光がしたいです。,観光の目的は動物や植物を見ることです。
u00000878,user,教える,客が希望する食べ物 客が希望する観光の季節,スペイン料理 希望なし,スペイン料理の食べられるお店で食事がしたいです,希望はスペイン料理が食べられるお店です。
u00000192,user,質問する,観光地の飲食物持ち込みの可否 観光地のお土産,? ?,飲食物は持ち込めますか、もし持ち込めないなら、お土産で飲食物を買えますか。,お土産を売っていますか、またそこには飲食物は持ち込めますか。
u00000171,user,質問する,観光地におすすめな時期 観光地の最寄り駅,? ?,最寄駅はどこになりますか、また観光におすすめな時期はいつですか。,いつが観光におすすめですか、そして最寄り駅はどこになりますか。
u00000102,user,質問する,観光地の名称 観光地周辺のレストランの名称,厚田海浜プール ?,厚田海浜プール近辺にあるレストランの名前を教えてください。,厚田海浜プール近辺で食事ができるレストランを教えてください。
u00001060,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,未定 特になし,できればインドアでできる観光がしたいです。,アウトドアを楽しめる観光がしたいです。
u00000599,user,教える,客の観光の同行者 客が観光にかけたい時間,女性 30分未満,同行する女性と30分くらいで観光したいです。,分くらいで同行者の女性と観光したいです。
u00000611,user,教える,客の観光の同行者 客の趣味,乳幼児 カメラ,乳幼児と一緒に観光して、写真が撮りたいです。,写真を撮りながら乳幼児と一緒に観光したいです。
u00000143,user,質問する,観光地の料金 観光地の公共交通機関でのアクセス,? ?,公共交通機関でのアクセス状況はどうですか、またどれくらいの予算が必要ですか。,料金はどれくらいかかりますか、また公共交通機関でのアクセス方法を教えてください。
u00000160,user,質問する,観光地の車でのアクセス 観光地の最寄り駅,? ?,最寄駅はどちらになりますか、そこへは車でも行きやすいですか。,車で行こうと思うのですが、最寄り駅はどちらですか。
u00000842,user,教える,客の希望の観光時間帯 客が希望する交通手段,午後 未定,午後の時間帯観光したいです。まだ交通手段をきめていません。,交通手段はまだ決めていませんが、午後に観光したいです。
u00000097,user,質問する,観光地の名称 観光地の新型コロナウイルス感染対策,? ?,コロナウィルスの感染対策対応されている観光地はどちらですか。,どこの観光地だと、コロナウィルス感染対策に対応されていますか。
u00000734,user,教える,客が希望する交通手段 客が希望する観光の季節,バス 未定,バスを使って観光したいです。,観光にはバスを使いたいです。
u00000771,user,教える,客が観光にかけたい時間 客が希望する交通手段,未定 徒歩,歩いていける範囲で観光したいです。,観光したいのは徒歩でいける場所です。
u00000881,user,教える,客が希望する食べ物 客が希望する観光の季節,ご当地グルメ 秋,秋にご当地グルメを味わいたいです。,ご当地グルメを食べられるよう、秋に観光したいです。
