id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000832,user,教える,客の希望の観光時間帯 客が希望する交通手段,朝 電車,朝に観光がしたいです。その際、電車を利用したいと考えています。,朝に電車に乗って行きたいです。
u00000948,user,教える,客の希望の観光時間帯 客が希望する観光の季節,未定 未定,観光する時間も季節もまだ何も決まっていません。,時間帯はまだどうするか決めていません。季節も検討中です。
u00000332,user,教える,客の観光の同行者,乳幼児,乳幼児と一緒です。,乳幼児を連れて行きます。
u00000780,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分未満 希望なし,30分程度で観光したいです。交通手段は特に希望はありません。,30分程観光出来たら、と考えています。移動手段は何でも大丈夫です。
u00000576,user,教える,客の観光の同行者 客が観光にかけたい時間,友達 30分以上60未満,友人と一緒に30分から60分程度観光を楽しみたいと考えています。,友人と30分から60分くらいの時間で観光したいです。
u00000824,user,教える,客の希望の観光時間帯 客が希望する交通手段,希望なし バス,バスで観光をしたいです。時間帯はいつでも大丈夫です。,バスで移動出来たらいいなと考えています。時間帯は特に希望はありません。
u00000743,user,教える,客が希望する交通手段 客が希望する観光の季節,電車 夏,夏場に観光をしたいと思っています。その際、電車を利用したいです。,夏頃行きたいです。観光する時は電車で移動したいです。
u00000911,user,教える,客が観光にかけたい時間 客が希望する観光の季節,未定 冬,冬場に観光を考えています。観光の際の滞在時間はまだハッキリ決まっていません。,観光時間はまだ未定ですが、冬頃行けたらいいな、と思っています。
u00001015,user,教える,客が希望する観光ジャンル 客がインドア派かアウトドア派か,遺跡・史跡・城址 特になし,遺跡・史跡・城址などを見て回りたいです。アクティブでもそうでなくてもどちらでも大丈夫です。,遺跡・史跡・城址に興味があります。外でも中でもどちらでも楽しめます。
u00000561,user,教える,客の観光の同行者 客が観光にかけたい時間,乳幼児 未定,観光の際は乳幼児も一緒です。観光時間はまだ決まっていません。,滞在時間は検討中ですが、乳幼児と一緒に観光したいと考えています。
u00000420,user,教える,客の観光の同行者 客が希望する交通手段,子供 未定,子供と一緒に観光がしたいです。移動の手段はまだ決めていません。,子供を連れて行きます。交通手段は未定です。
u00000177,user,質問する,観光地が雨天でも楽しめるか 観光地の駐車場の有無,? ?,雨が降っても大丈夫ですか。それと駐車場はありますか。,雨の中の観光はどんな感じですか。駐車場もどうなっているのか気になります。
u00000126,user,質問する,観光地の最寄り駅 観光地の営業時間,? ?,最寄り駅はどこになるのでしょうか。観光スポットの営業時間も教えてもらえると助かります。,そちらの観光地は大体どれくらいの時間やっていますか。それと最寄り駅はどちらでしょう。
u00000702,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,ペット アウトドア,ペットと一緒に観光を考えています。出来ればアクティブに楽しみたいです。,外をペットを連れて見て回りたいです。
u00001006,user,教える,客が観光にかけたい時間 客が希望する観光ジャンル,60分以上90分未満 高原・湿原・森・林・木,60分から90分くらいの時間で高原・湿原・森・林・木などが見たいです。,高原・湿原・森・林・木に興味があります。60分から90分程度で楽しめたらと思います。
u00000159,user,質問する,観光地が雨天でも楽しめるか 観光地の公共交通機関でのアクセス,? ?,そちらは雨天でも問題無く観光出来ますか。交通機関は何を利用すればいいでしょうか。,雨が降っても楽しめそうですか。移動手段の方法を教えてもらえると助かります。
u00000394,user,教える,客の名前 客の本日の交通手段,近藤 車,近藤と申します。今日は車で移動します。,近藤です。車で色々回ろうと思っています。
u00000893,user,教える,客の希望の観光時間帯 客が希望する食べ物,朝 揚げ物,時間帯は朝方がいいですね。揚げ物が食べたいので用意してほしいです。,朝に観光しようと思っています。食事の際は揚げ物があると嬉しいです。
u00000252,user,質問する,観光地の手荷物預かりの有無 観光地の利用可能なキャッシュレス決済,? ?,手荷物は預かってもらえますか。それとキャッシュレス決済は何が使えますか。,そちらの観光地では荷物を置かせてもらうことは可能ですか。利用出来るキャッシュレス決済の種類も教えてもらえますか。
u00000176,user,質問する,観光地におすすめな時期 観光地の駐車場の有無,? ?,観光時期はいつぐらいがいいですか。それと駐車場って近くにありますか。,そちらの観光地に駐車場はありますか。もし観光するんだったらどのくらいの時期がおすすめですかね。
