id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000852,user,教える,客の希望の観光時間帯 客が希望する交通手段,夜 バス,夜にバスで現地に向かおうと計画しています,夜間にバスを利用して訪れたく思います
u00000306,user,質問する,観光地のすいている曜日，時間帯 観光地の新型コロナウイルス感染対策,? ?,混雑していない曜日と時間帯はありますか。また、新型コロナウイルス感染対策は万全にされていますか,空いていて観光しやすい曜日や時間帯を教えてください。それに、新型コロナウイルス感染対策ってきちんとされているんでしょうか
u00000725,user,教える,客が希望する交通手段 客が希望する観光の季節,希望なし 夏,夏場に観光できれば移動手段は問いません,交通手段は何でもOKで夏に行きたいです
u00000764,user,教える,客が希望する観光ジャンル 客が希望する交通手段,食料品・地酒 徒歩,地元の食料品や地酒が楽しめる場所へ徒歩で行きたいです,名物食料品や地酒の製造現場を歩いて見学したいと考えてます
u00000202,user,質問する,観光地のおすすめイベント 観光地のお土産,? ?,ここで盛り上がるイベントがあれば教えてください。あと、お土産のおすすめって何ですか,イチ押しイベントとか定番のお土産はありますか
u00000744,user,教える,客が希望する交通手段 客が希望する観光の季節,電車 秋,電車を利用して秋に訪れたいです,秋に行きたいなぁ。電車で。
u00000066,user,質問する,観光地の名称 観光地のレビュー,STONE MAGIC ?,STONE MAGICのレビューを教えてください,STONE MAGICは評判良いんですか
u00000324,user,質問する,観光地周辺のレストランのジャンル 観光地周辺のレストランの名称,? ?,周辺レストランの店名と食事のジャンルを教えてもらえますか,どんな名前のレストランがあって、和洋中どんな料理が食べられますか
u00000009,user,質問する,観光地の車でのアクセス,?,車で行けますか,マイカー利用でも大丈夫でしょうか
u00000186,user,質問する,観光地におすすめな人 観光地が雨天でも楽しめるか,? ?,どんな人にオススメですか。雨天でも楽しめますか,カップル向きでしょうか。また、天気が悪くても楽しめるか教えてください
u00000798,user,教える,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 公共交通機関,公共交通機関で向かい、現地では60分～90分ほど観光したいです,60分以上、最大でも90分程見て回る予定で、移動は公共交通機関を利用します
u00000282,user,質問する,観光地の利用可能なキャッシュレス決済 観光地の予約要否,? ?,どんなキャッシュレス決済に対応してますか。事前の予約が必要でしょうか,利用できるキャッシュレス決済の種類って分かりますか。予約しないとダメですか
u00000510,user,教える,客の観光の同行者 客が希望する観光の季節,恋人 希望なし,恋人と一緒で特に季節の希望はありません,カップルで行くんですが季節はいつでも良いです
u00000663,user,教える,客の観光の同行者 客の希望の観光時間帯,ペット 朝,ペット連れで朝の観光を希望してます,ペットと朝に訪ねたいです
u00001075,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,90分以上 特になし,90分以上かけてじっくり見たいです。室内外どちらでも大丈夫です,ゆっくりと90分以上観光できる余裕があります。インドアまたはアウトドアどちらでも構いません
u00000425,user,教える,客の観光の同行者 客が希望する交通手段,子供 公共交通機関,子供と一緒に公共交通機関で移動したいです,子供連れなんで公共交通機関の利用を考えてます
u00000130,user,質問する,観光地におすすめな人 観光地の営業時間,? ?,そこは家族向きですか。また、毎日オープンしてますか,ひとりでも楽しめますかね。何時から何時まで開いてますか
u00001113,user,教える,客の本日の同行者 客の本日の交通手段,家族 バス,今日は家族でバスを利用します,今から家族全員でバス移動をしたいです
u00000494,user,教える,客の観光の同行者 客が希望する観光の季節,乳幼児 夏,乳幼児連れで夏に観光したいです,赤ちゃんと一緒に夏に訪れたいと考えてます
u00000874,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,徒歩 特になし,徒歩で行けるならインドアでもアウトドアでも大丈夫です,歩いていきたいです。屋内または屋外観光のこだわりはありません
