id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000852,user,教える,客の希望の観光時間帯 客が希望する交通手段,夜 バス,バスで夜に観光したいです。,夜の時間帯に、バスでの観光を楽しみたいです。
u00000306,user,質問する,観光地のすいている曜日，時間帯 観光地の新型コロナウイルス感染対策,? ?,新型コロナウイルスで、観光地は何曜日の何時頃がすいていますか？,観光地は特にどの曜日のどの時間帯が新型コロナウイルス感染対策ですいていますか？
u00000725,user,教える,客が希望する交通手段 客が希望する観光の季節,希望なし 夏,夏に何らかの乗り物で観光したいです。,乗り物は決めていませんが、夏場の観光という事は決めています。
u00000764,user,教える,客が希望する観光ジャンル 客が希望する交通手段,食料品・地酒 徒歩,徒歩で、食料品や地酒巡りをしたいです。,食料品や地酒をぶらぶらと歩いて見て回りたいです。
u00000202,user,質問する,観光地のおすすめイベント 観光地のお土産,? ?,観光地のおすすめイベントやお土産は何ですか？,観光地の人気のあるお土産やイベントはありますか？
u00000744,user,教える,客が希望する交通手段 客が希望する観光の季節,電車 秋,秋ごろに電車で観光旅行をしたいです。,電車での観光には秋が良いと思います。
u00000066,user,質問する,観光地の名称 観光地のレビュー,STONE MAGIC ?,STONE MAGICのレビューを知りたいです。,STONE MAGICの評判はどうですか？
u00000324,user,質問する,観光地周辺のレストランのジャンル 観光地周辺のレストランの名称,? ?,観光地にあるレストランの名前とジャンルは何ですか？,観光地のレストランの提供する料理の種類と名前は何ですか？
u00000009,user,質問する,観光地の車でのアクセス,?,観光地へは車ではどうやって行けばいいですか？,車で行くための観光地へのルートマップはありますか？
u00000186,user,質問する,観光地におすすめな人 観光地が雨天でも楽しめるか,? ?,その観光地はどんな人におすすめですか？雨天でも大丈夫ですか？,雨天でも楽しめる観光地で、だれにでもおすすめですか？
u00000798,user,教える,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 公共交通機関,60分以上90分未満の公共交通機関を利用した観光旅行に行きたいです。,公共交通機関に乗って60分以上90分未満の観光をするつもりです。
u00000282,user,質問する,観光地の利用可能なキャッシュレス決済 観光地の予約要否,? ?,観光地は予約が必要ですか？それから、利用可能なキャッシュレス決済の種類は何ですか？,予約してから観光地に行くのですか？それからキャッシュレス決済はどれでもいけますか？
u00000510,user,教える,客の観光の同行者 客が希望する観光の季節,恋人 希望なし,季節は問わず、恋人と観光に行きたいです。,季節は決まっていませんが、恋人と観光に行くつもりです。
u00000663,user,教える,客の観光の同行者 客の希望の観光時間帯,ペット 朝,ペットを連れて朝がた観光したいです。,朝の時間帯にペットと一緒に観光するつもりです。
u00001075,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,90分以上 特になし,旅行の内容は決めていませんが、90分以上は観光したいです。,90分以上は、何らかの観光をするつもりです。
u00000425,user,教える,客の観光の同行者 客が希望する交通手段,子供 公共交通機関,公共交通機関を利用して、子供と観光したいです。,子供と一緒に公共交通機関に乗って観光するつもりです。
u00000130,user,質問する,観光地におすすめな人 観光地の営業時間,? ?,観光地で観光できる時間帯は？それから、どんな人におすすめですか？,観光地の営業時間は？それから、誰でも楽しめますか？
u00001113,user,教える,客の本日の同行者 客の本日の交通手段,家族 バス,バスを家族と利用します。,家族と一緒にバスに乗りたいです。
u00000494,user,教える,客の観光の同行者 客が希望する観光の季節,乳幼児 夏,夏頃に乳幼児と観光したいです。,乳幼児と夏場に観光するつもりです。
u00000874,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,徒歩 特になし,徒歩で何らかの観光旅行をするつもりです。,まだ観光の内容は決めていませんが、徒歩で見てまわりたいです。
