id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000431,user,教える,客の観光の同行者 客が希望する交通手段,友達 電車,友達が同行するので電車での移動を希望します。,友達と電車で移動したいです。
u00001012,user,教える,客の希望の観光時間帯 客が希望する観光ジャンル,日中 記念碑・像,日中に記念碑や像などを見学したいです。,記念碑や像を日中に見て回りたいです。
u00000386,user,教える,客の本日の同行者 客の名前,なし 田村,田村と申します。本日は同行者がおりません。,本日は田村だけとなります。
u00000840,user,教える,客の希望の観光時間帯 客が希望する交通手段,日中 公共交通機関,日中に公共交通機関を利用するのが希望です。,公共交通機関を利用して日中のうちに観光したいです。
u00001087,user,教える,客の本日の同行者 客の本日の交通手段,乳幼児 車,乳幼児が同行します。本日は車での移動を希望します。,本日は乳幼児が同行するので車で移動するつもりです。
u00000530,user,教える,客の観光の同行者 客が希望する観光の季節,女性 夏,夏が希望です。女性が同行します。,夏に女性と旅がしたいです。
u00000873,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,公共交通機関 アウトドア,アウトドア派ですが、公共交通機関での移動を希望します。,アウトドア派です。公共交通機関を利用したいです。
u00000080,user,質問する,観光地の名称 観光地の撮影可否,ジャパンスネークセンター ?,ジャパンスネークセンターでの撮影は可能ですか？,撮影したいのですが、ジャパンスネークセンターでは可能ですか？
u00000295,user,質問する,観光地がインドアかアウトドアか 観光地の喫煙可否,? ?,そこはインドアですか？　アウトドアですか？　また、喫煙は可能ですか？,そこがインドアなのかアウトドアなのか、また喫煙の可否についても併せて教えてください。
u00001029,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,未定 夜,滞在時間は決めていませんが、夜が希望です。,夜であれば所要時間は問いません。
u00000262,user,質問する,観光地の飲食物持ち込みの可否 観光地のすいている曜日，時間帯,? ?,飲食物持ち込みは可能ですか？　また、空いている曜日や時間帯は分かりますか？,飲食物持ち込みの可否と空いている曜日や時間帯について教えてください。
u00000229,user,質問する,観光地の待ち時間 観光地の設備,? ?,待ち時間はどのくらいですか？　また、設備はどうなっていますか？,待ち時間と設備について教えてください。
u00001033,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 日中,日中が希望です。滞在時間の希望はありません。,滞在時間は問いませんが、日中が希望です。
u00001010,user,教える,客の希望の観光時間帯 客が希望する観光ジャンル,希望なし 観光道路,観光道路を訪れたいです。時間帯の希望はありません。,時間帯は問わず、観光道路を訪れてみたいです。
u00000612,user,教える,客の観光の同行者 客の趣味,子供 チェス,子供が同行します。余談ですがチェスが趣味なんですよ。,チェスが趣味なので、同行する子供と楽しむかもしれません。
u00000813,user,教える,客の趣味 客が希望する交通手段,美容 徒歩,徒歩でのアクセスが希望です。ちなみに、美容に興味があります。,美容に関心があるので、徒歩での移動を心がけています。
u00000298,user,質問する,観光地の広さ 観光地の駐車場の料金,? ?,そこはどのくらいの広さですか？　また、駐車場の料金は分かりますか？,そこの広さと駐車場の料金について教えてください。
u00000294,user,質問する,観光地のおすすめイベント 観光地の喫煙可否,? ?,その観光地のおすすめイベントと喫煙可否について教えてください。,その観光地では喫煙が可能ですか？　また、おすすめイベントなどありますか？
u00000790,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 電車,滞在時間は30分から60分くらいで、電車でのアクセスを希望します。,電車でのアクセスが容易な、30分から60分くらいで観光できる場所が希望です。
u00000976,user,教える,客の希望の観光時間帯 客が希望する観光の季節,午後 秋,秋の午後に観光できる場所が希望です。,季節は秋、時間帯は午後がいいですね。
