id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000431,user,教える,客の観光の同行者 客が希望する交通手段,友達 電車,友達と一緒に電車で移動したいと考えています。,友達と一緒の移動で、電車を希望します。
u00001012,user,教える,客の希望の観光時間帯 客が希望する観光ジャンル,日中 記念碑・像,日中に記念碑や像を見たいです。,記念碑や像を日中の間に回りたいです。
u00000386,user,教える,客の本日の同行者 客の名前,なし 田村,私は田村と申します。本日は一人です。,自分は田村と言い、同行者はいません。
u00000840,user,教える,客の希望の観光時間帯 客が希望する交通手段,日中 公共交通機関,日中に公共交通機関で移動できるところで観光がしたいです。,公共交通機関で移動し日中に観光できる場所が希望です。
u00001087,user,教える,客の本日の同行者 客の本日の交通手段,乳幼児 車,乳幼児と一緒に車で移動したいと思ってます。,交通手段は車で、乳幼児がいます。
u00000530,user,教える,客の観光の同行者 客が希望する観光の季節,女性 夏,夏に女性と一緒に行って楽しめる場所がいいです。,女性が喜び、夏を満喫できるところを希望します。
u00000873,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,公共交通機関 アウトドア,アウトドアを希望しますが、移動は公共交通機関でお願いします。,公共交通機関で移動でき、アウトドアを楽しめる場所を希望します。
u00000080,user,質問する,観光地の名称 観光地の撮影可否,ジャパンスネークセンター ?,ジャパンスネークセンターで撮影はできますか,ジャパンスネークセンターで蛇の写真を撮りたいのですが、撮影は可能ですか
u00000295,user,質問する,観光地がインドアかアウトドアか 観光地の喫煙可否,? ?,その場所はインドアですかアウトドアですか、また煙草は吸えますか,そこはインドアですかアウトドアですか、また喫煙所はありますか
u00001029,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,未定 夜,夜に観光したいのですが、滞在時間は特に決めていません。,何時間ぐらい居るか決めていませんが、時間帯は夜を希望します。
u00000262,user,質問する,観光地の飲食物持ち込みの可否 観光地のすいている曜日，時間帯,? ?,飲食物は持ち込みできますか、またいつならすいていますか,飲食物の持ち込みは可能ですか、またすいている曜日や時間帯はいつですか
u00000229,user,質問する,観光地の待ち時間 観光地の設備,? ?,待ち時間はどのくらいですか、またどのような設備がありますか,そこはどんな設備がありますか、またどのくらい待ちますか
u00001033,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 日中,日中に観光したいのですが、観光にかける時間は特に決めていません。,何時間ぐらい観光するか決めていませんが、時間帯は日中を希望します。
u00001010,user,教える,客の希望の観光時間帯 客が希望する観光ジャンル,希望なし 観光道路,観光道路を見たいですが、時間帯はいつでも良いです。,時間帯はいつでもいいのですが、観光道路に行きたいです。
u00000612,user,教える,客の観光の同行者 客の趣味,子供 チェス,子供とチェスができる場所に行きたいです。,チェスがしたいのですが、子供も一緒に楽しめる場所を希望します。
u00000813,user,教える,客の趣味 客が希望する交通手段,美容 徒歩,徒歩圏内で美容室に行きたいです。,エステサロンまで歩いて行きたいです。
u00000298,user,質問する,観光地の広さ 観光地の駐車場の料金,? ?,そこはどのぐらいの広さですか、また駐車場の料金はいくらですか,駐車料金はどのくらい掛かりますか、また観光地は広いですか
u00000294,user,質問する,観光地のおすすめイベント 観光地の喫煙可否,? ?,おすすめのイベントはありますか、また喫煙は可能ですか,喫煙所はありますか、また何か楽しいイベントはありますか
u00000790,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 電車,電車で移動でき、30分以上1時間未満で観光できる場所を希望します。,観光地での滞在時間は30分以上1時間未満で、移動手段は電車を考えています。
u00000976,user,教える,客の希望の観光時間帯 客が希望する観光の季節,午後 秋,秋の午後に楽しめる場所を探しています。,秋らしさを感じられる場所を午後に散策したいです。
