id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000617,user,教える,客の観光の同行者 客の趣味,女性 ネットサーフィン,同行者の女性はネットサーフィンが趣味です。,こちらの女性の好きなことはネットサーフィンですよ。
u00000857,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,未定 インドア,交通手段は未定です。インドア派です。,交通手段は決まっていませんね。どちらかというとインドア派です。
u00001102,user,教える,客の本日の同行者 客の本日の交通手段,友達 車,本日は友達と来ています。車で移動の予定です。,本日は友人と一緒です。交通手段は車ですね。
u00000551,user,教える,客の観光の同行者 客が観光にかけたい時間,未定 30分未満,同行者は未定で、観光にかけたい時間は30分未満です。,同伴者は決まっていません。観光時間は30分未満を希望します。
u00000821,user,教える,客の希望の観光時間帯 客が希望する交通手段,希望なし 未定,観光時間帯の希望はなく、交通手段は未定です。,観光時間帯は特に決めておらず、何で移動するかも決まっていません。
u00000305,user,質問する,観光地のすいている曜日，時間帯 観光地の待ち時間,? ?,すいている曜日、時間帯、待ち時間を教えてください。,その場所の比較的すいている曜日や時間帯、待ち時間はありますか。
u00000937,user,教える,客が観光にかけたい時間 客が希望する観光の季節,90分以上 希望なし,90分以上は観光にかけたいです。季節の希望はなしです。,90分以上観光時間があったほうがいいです。特に希望する季節はありません。
u00000583,user,教える,客の観光の同行者 客が観光にかけたい時間,恋人 60分以上90分未満,恋人と観光します。60分以上90分未満の観光時間がよいです。,同行者は恋人で、観光時間は60分以上90分未満を希望します。
u00000452,user,教える,客の観光の同行者 客が希望する交通手段,ペット 電車,ペット同伴で移動手段は電車です。,ペットと一緒です。交通手段は電車になります。
u00000468,user,教える,客の観光の同行者 客が希望する交通手段,歴史好き 徒歩,同行者は歴史好きです。徒歩での移動です。,歴史好きの同伴者がおり、交通手段は徒歩です。
u00000696,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,恋人 アウトドア,恋人が一緒です。アウトドア派ですね。,同伴者は恋人です。どちらかというとアウトドア派だと思います。
u00000760,user,教える,客が希望する観光ジャンル 客が希望する交通手段,花見スポット 車,車で行ける花見スポットがよいと思います。,車で行きやすい花見スポットを探しています。
u00000819,user,教える,客の希望の観光時間帯 客が希望する交通手段,未定 公共交通機関,公共交通機関で移動します。観光時間帯は未定です。,希望する観光時間帯は決まっていません。交通手段は公共交通機関です。
u00000078,user,質問する,観光地の名称 観光地の飲食物持ち込みの可否,目の霊山 油山寺 ?,目の霊山 油山寺は飲食物の持ち込みはできますか。,目の霊山 油山寺では飲食物の持ち込みは禁止ですか。
u00000915,user,教える,客が観光にかけたい時間 客が希望する観光の季節,希望なし 夏,夏の観光を希望していてかけたい時間は特に決まっていません。,観光にかける時間の希望はありませんが、季節は夏が良いです。
u00000052,user,質問する,観光地の名称 観光地の最寄り駅,穴吹川 ?,穴吹川の最寄り駅はどこですか。,穴吹川から一番近い駅はありますか。
u00000326,user,質問する,観光地周辺のレストランのジャンル 観光地周辺のレストランの評価,? ?,周辺のレストランのジャンルや評価はどうですか。,観光地周辺のレストランのジャンルや評価の情報はありますか。
u00000228,user,質問する,観光地の広さ 観光地の設備,? ?,観光地の広さや設備について教えてください。,観光地の面積や設備はどのようになっていますか。
u00000109,user,質問する,観光地のジャンル 観光地の営業時間,? ?,観光地のジャンルや営業時間について教えてください。,観光地のジャンル、あいている時間の情報はありますか。
u00001076,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,90分以上 インドア,90分以上の観光時間をかけたいです。インドア派です。,90分以上の観光を希望します。アウトドア派ではなく、インドア派です。
