id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000146,user,質問する,観光地の料金 観光地の駐車場の有無,? ?,日光東照宮の拝観料はいくらですか。駐車場はありますか。,日光東照宮に入るにはいくらかかりますか。あと、駐車場はあるでしょうか。
u00000673,user,教える,客の観光の同行者 客の希望の観光時間帯,歴史好き 未定,一緒に行く人が歴史好きなので、その土地の歴史を学べる場所がいいです。時間帯は問いません。,日中でも夜でもいいんですが、その土地の歴史を学べる場所ってありますか。同行者が歴史好きなんです。
u00000127,user,質問する,観光地の駐車場の有無 観光地の営業時間,? ?,東尋坊に駐車場はありますか。それから東尋坊は何時から何時まで開いてますか。,東尋坊に車を止める所はありますか。あと、東尋坊に入れるのは何時から何時ですか。
u00000772,user,教える,客が観光にかけたい時間 客が希望する交通手段,希望なし 未定,どのくらいの時間でとか、どうやって行くかとか、全然決めてないんです。,所要時間や交通手段はまだ決めていないものでして。
u00000791,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 公共交通機関,公共交通機関で行けて、30分から1時間くらいで回れるところがいいです。,30分から1時間程度で見れるところがいいですね。公共交通機関を使います。
u00001000,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,アウトドア 秋,秋に行く予定です。屋外で楽しめる場所がいいですね。,秋に行きます。あと、屋外で過ごしたいです。
u00001103,user,教える,客の本日の同行者 客の本日の交通手段,友達 バス,友達と一緒に、バスで行きます。,友達と一緒に行きます。バスを使う予定です。
u00000371,user,教える,客の本日の交通手段,車,車で行くつもりにしています。,交通手段は車ですね。
u00000802,user,教える,客が観光にかけたい時間 客が希望する交通手段,90分以上 車,90分以上かけてじっくり見て回れるところがいいですね。行くには車を使います。,車で行ける場所で、90分以上じっくり観光できるところがいいです。
u00000632,user,教える,客の観光の同行者 客の希望の観光時間帯,乳幼児 希望なし,どの時間帯でも大丈夫です。ただ、乳幼児が一緒です。,どの時間帯でも構いませんが、乳幼児も連れていきます。
u00000615,user,教える,客の観光の同行者 客の趣味,家族 洞窟探索,家族で行きます。私は洞窟探索が好きなんで、そんな場所があればいいなと。,洞窟探索ができる所はありますか。私の趣味なんです。家族で行きます。
u00000967,user,教える,客の希望の観光時間帯 客が希望する観光の季節,日中 希望なし,日中にどこか行きたいなと思っています。でも、いつ頃行くかまだ決めてないです。,何月にするかまだ決まってないんですけど、日中に行く場所を探してて。
u00001118,user,教える,客の本日の同行者 客の本日の交通手段,ペット バス,ペットを連れて、バスで行こうと思っています。,バスで行く予定です。ペットも一緒です。
u00001129,user,教える,客の本日の同行者 客の本日の交通手段,歴史好き 電車,電車で行く予定です。あと、一緒に行く人が歴史好きなんですよ。,電車を使うつもりにしています。それから、一緒に行くのは歴史が好きな人でして。
u00000786,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 未定,30分から1時間程度で回れるところがいいです。交通手段はまだ決めてないです。,30分から1時間くらいで見れる場所がいいですね。交通手段はこれから考えます。
u00000301,user,質問する,観光地のおすすめイベント 観光地の駐車場の料金,? ?,みなとみらいでおすすめのイベントはありますか。あと、駐車場代はどのくらいかかりますか。,みなとみらいでのおすすめのイベントと、駐車場の料金を教えてほしいです。
u00000374,user,教える,客の本日の交通手段,公共交通機関,公共交通機関で行けるところがいいです。,公共交通機関を使って行きます。
u00001142,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,日中 インドア,日中にどこか楽しめる場所はあるでしょうか。屋内がいいです。,日中に屋内で楽しめる場所ってありますか。
u00000633,user,教える,客の観光の同行者 客の希望の観光時間帯,乳幼児 朝,乳幼児が一緒なんですけど、朝のんびり過ごせる場所ってありますか。,朝はのんびり過ごせるところに行きたいです。あと、乳幼児も連れていきます。
u00000455,user,教える,客の観光の同行者 客が希望する交通手段,女性 未定,一緒に行くのは女性です。交通手段は行き先を決めてから検討します。,女性と一緒に行くんですけど、交通手段は行き先が決まったら考えます。
