id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000906,user,教える,客が観光にかけたい時間 客が希望する観光の季節,未定 未定,観光にかける時間は特に決めてないですし、訪れる季節もいつでもいいです。,季節や、観光にどれだけ時間をかけるか、といったことは決めてないんですよ。
u00000304,user,質問する,観光地の広さ 観光地のすいている曜日，時間帯,? ?,そこの広さはどのくらいですか？ついでにすいている曜日や時間帯も教えて欲しいです。,そちらはどの程度の広さなのでしょうか？あと、比較的、すいている曜日や時間帯も知りたいですね。
u00000023,user,質問する,観光地の飲食物持ち込みの可否,?,そこは飲食物の持ち込みはしてもいいんですか？,そこの飲食物の持ち込みに関するルールはどうなってますか？
u00000321,user,質問する,観光地のおすすめイベント 観光地の新型コロナウイルス感染対策,? ?,そちらにはおすすめイベントはありますか？また、そこの新型コロナウイルス対策はどうなっているんでしょうか？,そこのおすすめのイベントや、新型コロナウイルス対策についても教えて欲しいです。
u00000620,user,教える,客の観光の同行者 客の希望の観光時間帯,未定 希望なし,旅の同行者は決まってないですし、行く時間帯も特に希望はないんですよ。,同行者はまだ未定です。訪れる時間帯も特に希望はありません。
u00000116,user,質問する,観光地のジャンル 観光地の電話番号,? ?,その場所の観光ジャンルと電話番号を教えてください。,そこはジャンルとしては、どういった場所ですか？あと、電話番号も知りたいです。
u00000362,user,教える,客の本日の同行者,乳幼児,今日は乳幼児と一緒に行くんですよ。,今日の同行者は乳幼児ですね。
u00000264,user,質問する,観光地の広さ 観光地の飲食物持ち込みの可否,? ?,そこの広さはどの程度なんでしょうか？あと、飲食物の持ち込みが可能かどうかも知りたいです。,そこの広さと、飲食物の持ち込みが出来るかどうかも教えて欲しいです。
u00000133,user,質問する,観光地の料金 観光地の定休日,? ?,そちらの料金と定休日を教えて欲しいのですが。,そこの定休日や、必要な料金を教えてくれませんか？
u00000422,user,教える,客の観光の同行者 客が希望する交通手段,子供 車,そこには、子供と一緒に、車で行く予定です。,車に乗って子供と行きます。
u00001058,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,90分以上 午後,そこには午後に行きたいんですけど、観光に90分以上は時間をかけたいですね。,90分以上程度、観光ができる場所がいいですね。時間帯は午後を予定してます。
u00000421,user,教える,客の観光の同行者 客が希望する交通手段,子供 希望なし,交通手段は何でも良いですね。子供と一緒に訪れる予定です。,交通手段は問わないですけど、子供が同行する予定です。
u00000087,user,質問する,観光地の名称 観光地の駐車場の料金,? ?,その観光地の名称と、そこの駐車場の料金を教えて下さい。,そちらの名称や駐車場料金を知りたいですね。
u00001088,user,教える,客の本日の同行者 客の本日の交通手段,乳幼児 バス,今日はバスで、乳幼児と一緒に行きます。,今日は乳幼児を連れて、バスで行く予定です。
u00000642,user,教える,客の観光の同行者 客の希望の観光時間帯,子供 夜,子供と一緒に、夜に観光出来る場所が良いです。,夜に観光したいです。子供と一緒に行きます。
u00000728,user,教える,客が希望する交通手段 客が希望する観光の季節,車 未定,車で行きたいです。季節は特に決めてません。,季節はいつでもいいのですが、車で行きたいですね。
u00000088,user,質問する,観光地の名称 観光地のすいている曜日，時間帯,稲佐山公園 ?,稲佐山公園は、すいている曜日、時間帯などは大体決まっていますか？,稲佐山公園の比較的すいている曜日や時間帯が知りたいのですが。
u00000505,user,教える,客の観光の同行者 客が希望する観光の季節,友達 春,友達と一緒に、春に訪れたいです。,春に行きたいですね。友達と一緒に行く予定です。
u00000946,user,教える,客の趣味 客が希望する観光の季節,旅行 秋,私の趣味は旅行ですよ。特に秋の旅行にこだわっています。,秋に旅行するのが趣味ですね。
u00000379,user,教える,客の希望の観光時間帯,日中,日中の時間帯に観光がしたいです。,日中の観光を希望します。
